
# Surface 0 of 1 surfaces

# Curve title: "f(x,y)"

# IsoCurve 0, 100 points
# x y z type
-2 -2  99 i
 1.79798 -1.93574  67.4196 i
 1.83838 -1.93574  71.3365 i
 1.87879 -1.93574  75.4539 i
 1.91919 -1.93574  79.779 i
 1.9596 -1.93574  84.3193 i
 2 -1.93574  89.0826 i

# IsoCurve 5, 100 points
# x y z type
-2 -1.91968  96.6065 i
-1.9596 -1.91968  91.6944 i
-1.91919 -1.91968  87.005 i
-1.87879 -1.91968  82.5307 i
-1.83838 -1.91968  78.2638 i
-1.79798 -1.91968  74.197 i
-1.75758 -1.91968  70.3232 i
-1.71717 -1.91968  66.6353 i
-1.67677 -1.91968  63.1264 i
-1.63636 -1.91968  59.7898 i
-1.59596 -1.91968  56.619 i
-1.55556 -1.91968  53.6075 i
-1.51515 -1.91968  50.7492 i
-1.47475 -1.91968  48.0379 i
-1.43434 -1.91968  45.4677 i
-1.39394 -1.91968  43.033 i
-1.35354 -1.91968  40.7279 i
-1.31313 -1.91968  38.5473 i
-1.27273 -1.91968  36.4857 i
-1.23232 -1.91968  34.538 i
-1.19192 -1.91968  32.6994 i
-1.15152 -1.91968  30.9649 i
-1.11111 -1.91968  29.33 i
-1.07071 -1.91968  27.7901 i
-1.0303 -1.91968  26.3411 i
-0.989899 -1.91968  24.9786 i
-0.949495 -1.91968  23.6987 i
-0.909091 -1.91968  22.4976 i
-0.868687 -1.91968  21.3716 i
-0.828283 -1.91968  20.3172 i
-0.787879 -1.91968  19.331 i
-0.747475 -1.91968  18.4098 i
-0.707071 -1.91968  17.5506 i
-0.666667 -1.91968  16.7505 i
-0.626263 -1.91968  16.0067 i
-0.585859 -1.91968  15.3168 i
-0.545455 -1.91968  14.6784 i
-0.505051 -1.91968  14.0891 i
-0.464646 -1.91968  13.5469 i
-0.424242 -1.91968  13.0499 i
-0.383838 -1.91968  12.5963 i
-0.343434 -1.91968  12.1846 i
-0.30303 -1.91968  11.8133 i
-0.262626 -1.91968  11.4811 i
-0.222222 -1.91968  11.1868 i
-0.181818 -1.91968  10.9296 i
-0.141414 -1.91968  10.7087 i
-0.10101 -1.91968  10.5233 i
-0.0606061 -1.91968  10.3731 i
-0.020202 -1.91968  10.2576 i
 0.020202 -1.91968  10.1768 i
 0.0606061 -1.91968  10.1307 i
 0.10101 -1.91968  10.1193 i
 0.141414 -1.91968  10.143 i
 0.181818 -1.91968  10.2024 i
 0.222222 -1.91968  10.2979 i
 0.262626 -1.91968  10.4306 i
 0.30303 -1.91968  10.6012 i
 0.343434 -1.91968  10.8109 i
 0.383838 -1.91968  11.061 i
 0.424242 -1.91968  11.3529 i
 0.464646 -1.91968  11.6883 i
 0.505051 -1.91968  12.0689 i
 0.545455 -1.91968  12.4965 i
 0.585859 -1.91968  12.9734 i
 0.626263 -1.91968  13.5017 i
 0.666667 -1.91968  14.0838 i
 0.707071 -1.91968  14.7223 i
 0.747475 -1.91968  15.4199 i
 0.787879 -1.91968  16.1795 i
 0.828283 -1.91968  17.0041 i
 0.868687 -1.91968  17.8969 i
 0.909091 -1.91968  18.8613 i
 0.949495 -1.91968  19.9007 i
 0.989899 -1.91968  21.019 i
 1.0303 -1.91968  22.2198 i
 1.07071 -1.91968  23.5073 i
 1.11111 -1.91968  24.8855 i
 1.15152 -1.91968  26.3588 i
 1.19192 -1.91968  27.9317 i
 1.23232 -1.91968  29.6087 i
 1.27273 -1.91968  31.3948 i
 1.31313 -1.91968  33.2948 i
 1.35354 -1.91968  35.3138 i
 1.39394 -1.91968  37.4572 i
 1.43434 -1.91968  39.7304 i
 1.47475 -1.91968  42.1389 i
 1.51515 -1.91968  44.6886 i
 1.55556 -1.91968  47.3853 i
 1.59596 -1.91968  50.2352 i
 1.63636 -1.91968  53.2444 i
 1.67677 -1.91968  56.4193 i
 1.71717 -1.91968  59.7666 i
 1.75758 -1.91968  63.2929 i
 1.79798 -1.91968  67.0051 i
 1.83838 -1.91968  70.9102 i
 1.87879 -1.91968  75.0155 i
 1.91919 -1.91968  79.3283 i
 1.9596 -1.91968  83.856 i
 2 -1.91968  88.6065 i

# IsoCurve 6, 100 points
# x y z type
-2 -1.90361  96.1317 i
